Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_TRUNG_TRAC, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IMHOTEP, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HOMER, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 30, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_KAMAL_UD_DIN_BEHZAD, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 120, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_LUDWIG_VAN_BEETHOVEN, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 210, -1, -1
